from,to,relationship,year
fr,bmwk,1,2022
rs,bmi,1,2022
tl,aam,1,2022
bs,bfj,1,2022
co,bel,1,2022
mt,bmdv,1,2022
jb,bmbf,1,2022
ck,unn,1,2022
ft,bmf,1,2022
rs,zue,7,1989
rs,fre,7,1989
rs,gfa,4,2021
rs,alu,3,2021
rs,gjd,2,2000
rs,but,2,2021
fr,but,2,2021
tl,but,2,2021
bs,but,2,2021
co,but,2,2021
mt,but,2,2021
ck,but,2,2021
jb,but,2,2021
ft,but,2,2021
rs,unn,2,2020
rs,kfw,2,2021
tl,kas,7,2007
tl,iwt,6,2021
tl,rbg,6,2021
tl,bfi,4,2021
tl,gma,2,2021
tl,gjd,2,2000
bs,lgs,7,2014
bs,ere,6,2021
bs,lhp,6,2021
bs,jli,2,2013
bs,afi,2,2021
bs,eua,2,2021
bs,sch,2,2021
co,sefep,4,2021
co,ubv,6,2021
co,gss,3,2021
co,hbs,3,2021
co,ths,3,2021
co,bsg,2,2018
co,zdf,2,2013
co,eup,2,2004
mt,tst,7,1995
mt,tfw,6,2021
mt,sefep,4,2021
mt,ths,3,2021
mt,kfw,2,2021
mt,jli,2,1994
mt,svf,2,2009
mt,eup,2,2009
mt,gma,2,2021
ck,tst,7,2009
ck,vut,6,
ck,sch,2,2021
jb,mst,7,2014
jb,tbc,6,2021
jb,jli,2,2013
fb,fre,7,
fb,mst,7,
fb,jdc,4,2021
fb,hbs,3,2021
fb,eup,2,2009
fb,gjd,2,1996
ft,hst,7,2005
ft,lgs,7,2007
ft,tst,7,2012
ft,ass,6,2021
ft,gss,3,2021
ft,kfw,2,2021
ft,gma,2,2021
ft,afi,2,2021